Channel,Link,Video,Transcripts' type (auto/manual),Content Type,,,"Instructions: Channels should contain as much darija as possible (few codeswitching / classical arabic..), and contents (to have difference vocabulary)"
Fakhr-din Stories,https://youtube.com/playlist?list=PLy-ucrR8Z-FW0zQGdK5ZKq1QY7CY37kHn&si=QwSjynqJMwaMwGb9,https://youtube.com/playlist?list=PLy-ucrR8Z-FW0zQGdK5ZKq1QY7CY37kHn&si=QwSjynqJMwaMwGb9,auto,,,,
Najib El Mokhtari,https://youtu.be/3a6qHvFLNOY,https://youtu.be/3a6qHvFLNOY,auto,,,,
Arabi21 - عربي21,https://youtu.be/ebsEumoRao0,https://youtu.be/ebsEumoRao0,auto,,,,
Arabi21 - عربي22,https://www.youtube.com/watch?v=i2zS9q5RB3A,https://www.youtube.com/watch?v=i2zS9q5RB3A,auto,,,,
Dr Oussama Benchekroun - المغرب,https://youtu.be/qyJKbKLNXzg,https://youtu.be/qyJKbKLNXzg,auto,,,,
Kifache tv | كيفاش تيفي,https://youtu.be/9wX_znEMBKQ?list=PLDaUgVEitTOE0tfwnQBtI4yUlQsZ-3zzz,https://youtu.be/9wX_znEMBKQ?list=PLDaUgVEitTOE0tfwnQBtI4yUlQsZ-3zzz,auto,,,,
Simo Sedraty,https://youtu.be/iExlaNNXdxk,https://youtu.be/iExlaNNXdxk,auto,,,,
Simo Sedraty,https://youtu.be/DhQoPUcarfg?si=3Ry_oJbWrvCRSTre,https://youtu.be/DhQoPUcarfg?si=3Ry_oJbWrvCRSTre,auto,,,,
Fakhr-din L'hamri,https://youtu.be/WSRRzDtEWiM,https://youtu.be/WSRRzDtEWiM,auto,,,,
ksiyer,https://youtu.be/tNk4NHl4iFY,https://youtu.be/tNk4NHl4iFY,auto,,,,
ksiyer,https://youtu.be/b84ytRnqLiM?list=PLGV8qNW10NgGqSaZz4_35b8Zye9T-Ea1f,https://youtu.be/b84ytRnqLiM?list=PLGV8qNW10NgGqSaZz4_35b8Zye9T-Ea1f,auto,,,,
ksiyer,https://youtu.be/b84ytRnqLiM?list=PLGV8qNW10NgGqSaZz4_35b8Zye9T-Ea1f,https://youtu.be/b84ytRnqLiM?list=PLGV8qNW10NgGqSaZz4_35b8Zye9T-Ea1f,auto,,,,
PILOTA,https://youtu.be/SDwMLw-XXoI,https://youtu.be/SDwMLw-XXoI,auto,,,,
صة بطل,https://youtu.be/x6EJa-GcqEc,https://youtu.be/x6EJa-GcqEc,auto,,,,
MarOne Ous,https://youtu.be/qysxIrpzS_8,https://youtu.be/qysxIrpzS_8,auto,,,,
Selim Hamidi,https://youtu.be/Y1PTP5nJ1E0,https://youtu.be/Y1PTP5nJ1E0,auto,,,,
Selim Hamidi,https://youtu.be/4rzPWZvS0KE,https://youtu.be/4rzPWZvS0KE,auto,,,,
Selim Hamidi,https://youtu.be/4rzPWZvS0KE,https://youtu.be/4rzPWZvS0KE,auto,,,,
MEDI1 TV,https://www.youtube.com/playlist?list=PLqRFOgjh-8xIOHBGy9OEAAW1AsL_fYOIg,https://www.youtube.com/playlist?list=PLqRFOgjh-8xIOHBGy9OEAAW1AsL_fYOIg,auto,,,,